"","ï..Source","WHO_REGION","Region","Country","ISO3","ISO2","ADMIN1_NAME","ADMIN1_CODE","ADMIN2_NAME","ADMIN2_CODE","IU_NAME","IU_ID","Location","SiteID","Longitude","Latitude","Georeliability","Location_type","Survey_type","Year","Age_start","Age_end","HK_examined","HK_positive","HK_prevalence","HK_Perc_HighInfection","HK_Perc_ModerateInfection","Asc_examined","Asc_positive","Asc_prevalence","Asc_Perc_HighInfection","Asc_Perc_ModerateInfection","TT_examined","TT_positive","TT_prevalence","TT_Perc_HighInfection","TT_Perc_ModerateInfection","STH_examined","STH_positive","STH_prevalence","Cum_Prevalence","Quality","Dups","SN","endnote_id","Composite_IU_ID"
"6581","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Kebbi","3796","Wasagu/Danko","36802","Wasagu/Danko","36802","Tudun Bichi","15940","7.117464","11.416897000000001","4",NA,NA,"2014",NA,NA,"50","3",0.06,NA,NA,"50","2",0.04,NA,NA,"50","0",0,NA,NA,"50","5",0.1,0.092075472,1,0,11750,"","ANGA0379636802"
"6591","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Kebbi","3796","Dandi","36791","Dandi","36791","Tukurwa","14264","3.6331007","11.8970035","1",NA,NA,"2014",NA,NA,"55","29",0.527272727,NA,NA,"55","1",0.018181818,NA,NA,"55","0",0,NA,NA,"55","30",0.545454545,0.505535631,1,0,11693,"","ANGA0379636791"
"6601","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Kebbi","3796","Ngaski","36798","Ngaski","36798","Tungan Mairuwa","15390","6.4435206669999996","10.207585999999999","4",NA,NA,"2014",NA,NA,"50","2",0.04,NA,NA,"50","0",0,NA,NA,"50","0",0,NA,NA,"50","2",0.04,0.04,1,0,11733,"","ANGA0379636798"
"6612","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Kebbi","3796","Augie","36787","Augie","36787","Tungar Noma","14010","4.5998000000000001","10.874075700000001","1",NA,NA,"2014",NA,NA,"46","5",0.108695652,NA,NA,"46","0",0,NA,NA,"46","0",0,NA,NA,"46","5",0.108695652,0.108695652,1,0,11676,"","ANGA0379636787"
"6621","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Akwa Ibom","3777","Udung Uko","36401","Udung Uko","36401","Uboro Isong Iyang","15873","8.2739279999999997","4.7751039999999998","3",NA,NA,"2014",NA,NA,"48","36",0.75,NA,NA,"48","27",0.5625,NA,NA,"48","26",0.541666667,NA,NA,"48","24",0.5,0.896103577,1,0,10423,"","ANGA0377736401"
"6631","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Akwa Ibom","3777","Nsit Atai","36393","Nsit Atai","36393","Ubotim/Idiaba","15410","8.1572169999999993","4.8256740000000002","3",NA,NA,"2014",NA,NA,"50","42",0.84,NA,NA,"50","13",0.26,NA,NA,"50","5",0.1,NA,NA,"50","26",0.52,0.842867925,1,0,10382,"","ANGA0377736393"
"6641","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Kogi","3797","Okene","36821","Okene","36821","Uduka","15493","7.2354200000000004","7.5369999999999999","3",NA,NA,"2014",NA,NA,"55","1",0.018181818,NA,NA,"55","8",0.145454545,NA,NA,"55","0",0,NA,NA,"55","9",0.163636364,0.151878996,1,0,11846,"","ANGA0379736821"
"6651","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Akwa Ibom","3777","Okobo","36397","Okobo","36397","Ufok Ebuk","15503","8.1659410000000001","4.8894630000000001","3",NA,NA,"2014",NA,NA,"50","33",0.66,NA,NA,"50","33",0.66,NA,NA,"50","16",0.32,NA,NA,"50","28",0.56,0.869237736,1,0,10402,"","ANGA0377736397"
"6661","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Kogi","3797","Idah","36811","Idah","36811","Ugbetulu","14634","7.1925939999999997","7.5330000000000004","3",NA,NA,"2014",NA,NA,"40","23",0.575,NA,NA,"40","2",0.05,NA,NA,"40","1",0.025,NA,NA,"40","26",0.65,0.572022406,1,0,11796,"","ANGA0379736811"
"6671","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Kogi","3797","Ofu","36818","Ofu","36818","Ugwolawulgea Pri.sch.ugwolawu","15464","6.9316481000000003","7.2448905999999997","1",NA,NA,"2014",NA,NA,"52","7",0.134615385,NA,NA,"52","0",0,NA,NA,"52","1",0.019230769,NA,NA,"52","8",0.153846154,0.142695657,1,2,19771,"","ANGA0379736818"
"6681","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Akwa Ibom","3777","Essien Udim","36379","Essien Udim","36379","Ukana","14418","7.7147505000000001","5.1325703000000003","1",NA,NA,"2014",NA,NA,"40","24",0.6,NA,NA,"40","1",0.025,NA,NA,"40","0",0,NA,NA,"40","25",0.625,0.575471698,1,0,10312,"","ANGA0377736379"
"6691","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Akwa Ibom","3777","Mbo","36391","Mbo","36391","Uko Abasi","15320","8.0610900000000001","4.71","3",NA,NA,"2014",NA,NA,"51","14",0.274509804,NA,NA,"51","28",0.549019608,NA,NA,"51","5",0.098039216,NA,NA,"51","38",0.745098039,0.664995094,1,0,10371,"","ANGA0377736391"
"6701","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Kogi","3797","Ankpa","36807","Ankpa","36807","Ukpaba","13972","7.6319600000000003","7.4053196999999997","1",NA,NA,"2014",NA,NA,"50","20",0.4,NA,NA,"50","6",0.12,NA,NA,"50","1",0.02,NA,NA,"50","27",0.54,0.455245283,1,0,11777,"","ANGA0379736807"
"6712","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Akwa Ibom","3777","Onna","36398","Onna","36398","Ukpana","15547","7.8280649000000002","4.5978971","1",NA,NA,"2014",NA,NA,"52","19",0.365384615,NA,NA,"52","25",0.480769231,NA,NA,"52","9",0.173076923,NA,NA,"52","42",0.807692308,0.686338736,1,0,10406,"","ANGA0377736398"
"6721","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Akwa Ibom","3777","Abak","36375","Abak","36375","Ukpom Abak","13834","7.6107269999999998","5.0177800000000001","3",NA,NA,"2014",NA,NA,"51","13",0.254901961,NA,NA,"51","13",0.254901961,NA,NA,"51","2",0.039215686,NA,NA,"51","10",0.196078431,0.440188988,1,0,10293,"","ANGA0377736375"
"6731","AFRO","AFRO","Western Africa","Nigeria","NGA","NG","Akwa Ibom","3777","Ikono","36386","Ikono","36386","Ukpom Awanaa","14743","7.766667","5.2166670000000002","3",NA,NA,"2014",NA,NA,"54","7",0.12962963,NA,NA,"54","8",0.148148148,NA,NA,"54","0",0,NA,NA,"54","35",0.648148148,0.243937159,1,0,10346,"","ANGA0377736386"
