,Country,ISO3,ISO2,ADMIN2_NAME,ADMIN2_CODE,Longitude,Latitude,Year,HK_examined,HK_positive,HK_prevalence,Asc_examined,Asc_positive,Asc_prevalence,TT_examined,TT_positive,TT_prevalence,STH_examined,STH_positive,STH_prevalence,Cum_Prevalence
222,Botswana,BWA,BW,Good Hope,4310,24.96724167,-25.75854333,2015,45,0,0,45,0,0,45,0,0,45,0,0,0
223,Botswana,BWA,BW,Chobe,4304,25.22378833,-17.90159833,2015,50,2,0.04,50,9,0.18,50,27,0.54,50,28,0.56,0.601781132
224,Botswana,BWA,BW,Kweneng West,4301,25.0385112,-24.1088067,2015,51,0,0,51,2,0.039215686,51,0,0,51,2,0.039215686,0.039215686
225,Botswana,BWA,BW,Kgatleng,4299,26.4493814,-24.6036885,2015,50,1,0.02,50,14,0.28,50,0,0,50,14,0.28,0.277735849
226,Botswana,BWA,BW,Ngami,4305,23.4265553,-19.9822068,2015,42,0,0,42,9,0.214285714,42,0,0,42,9,0.214285714,0.214285714
227,Botswana,BWA,BW,Kanye/Moshupa,4312,25.4758331,-25.1039031,2015,42,1,0.023809524,42,0,0,42,0,0,42,1,0.023809524,0.023809524
228,Botswana,BWA,BW,Francistown,4302,26.87913333,-21.30684833,2015,51,0,0,51,5,0.098039216,51,0,0,51,5,0.098039216,0.098039216
229,Botswana,BWA,BW,Bobirwa,4290,28.82730833,-21.81929167,2015,48,0,0,48,0,0,48,1,0.020833333,48,1,0.020833333,0.020833333
230,Botswana,BWA,BW,Good Hope,4310,24.56497333,-25.76842833,2015,49,0,0,49,1,0.020408163,49,0,0,49,1,0.020408163,0.020408163
231,Botswana,BWA,BW,Mahalapye,4313,23.5935445,-24.3914388,2015,47,0,0,47,0,0,47,0,0,47,0,0,0
232,Botswana,BWA,BW,Bobirwa,4290,28.4305,-21.97628,2015,37,0,0,37,0,0,37,0,0,37,0,0,0
233,Botswana,BWA,BW,Gaborone,4307,25.97145,-24.65493,2015,53,0,0,53,0,0,53,0,0,53,0,0,0
234,Botswana,BWA,BW,Matsuane,4292,26.8414303,-23.0965143,2015,50,11,0.22,50,0,0,50,0,0,NA,NA,0,0.22
235,Botswana,BWA,BW,Mahalapye,4313,24.227881,-24.4194818,2015,45,0,0,45,0,0,45,0,0,45,0,0,0
236,Botswana,BWA,BW,Tutume,4295,27.22032,-20.1274729,2015,50,0,0,50,0,0,50,0,0,50,0,0,0
237,Botswana,BWA,BW,Ngami,4305,22.33327167,-20.381585,2015,50,3,0.06,50,0,0,50,0,0,50,3,0.06,0.06
238,Botswana,BWA,BW,North East,4303,27.266974,-20.7994039,2015,45,0,0,45,0,0,45,0,0,45,0,0,0
